geo_level,geo_code,geo_description,drg_code,drg_description,total_discharges,average_submitted_covered_charge,average_total_payment_amount,average_medicare_payment_amount
National,,National,521,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC,15242,128110.94,25044.53,22530.46
National,,National,522,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC,42555,95619.17,18044.21,15612.87
National,,National,533,FRACTURES OF FEMUR WITH MCC,795,63347.45,13278.5,11037.7
National,,National,534,FRACTURES OF FEMUR WITHOUT MCC,2213,33885.28,7184.14,5488.14
National,,National,535,FRACTURES OF HIP AND PELVIS WITH MCC,7259,56491.68,11774.32,9751.05
National,,National,536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,18142,35560.06,7196.29,5406.07
National,,National,537,"SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITH CC/MCC",840,42066.59,9150.13,7103.91
National,,National,538,"SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITHOUT CC/MCC",281,30614.61,6455.15,4690.02
National,,National,539,OSTEOMYELITIS WITH MCC,2963,80467.07,18514.48,15237.04
National,,National,540,OSTEOMYELITIS WITH CC,2662,53621.17,12351.73,9966.69
National,,National,541,OSTEOMYELITIS WITHOUT CC/MCC,350,35962.63,8513.29,6348.09
National,,National,542,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC,8123,78453.37,16856.09,14060.54
National,,National,543,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH CC,13958,47214.95,9981.16,7858.78
National,,National,544,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT CC/M,3083,34663.46,7039.19,5225.78
National,,National,545,CONNECTIVE TISSUE DISORDERS WITH MCC,3134,108555.24,26684.23,22289.39
National,,National,546,CONNECTIVE TISSUE DISORDERS WITH CC,3065,53731.82,12362.72,9562.59
National,,National,547,CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC,788,38370.23,9478.46,6646.37
National,,National,548,SEPTIC ARTHRITIS WITH MCC,575,82964.58,17849.76,15500.43
National,,National,549,SEPTIC ARTHRITIS WITH CC,1119,52270.51,11365.58,9073.27
National,,National,550,SEPTIC ARTHRITIS WITHOUT CC/MCC,255,37254.73,8971.84,6896.93
National,,National,551,MEDICAL BACK PROBLEMS WITH MCC,14480,74356.79,15231.61,12668.44
National,,National,552,MEDICAL BACK PROBLEMS WITHOUT MCC,46194,45874.47,8991.97,6852.73
National,,National,553,BONE DISEASES AND ARTHROPATHIES WITH MCC,2231,56412.06,13528.74,11090.88
National,,National,554,BONE DISEASES AND ARTHROPATHIES WITHOUT MCC,9125,36508.8,8258.27,6295.44
National,,National,555,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC,2081,62989.54,13532.54,11485.4
National,,National,556,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MCC,7830,37837.96,7930.71,6095.49
National,,National,557,"TENDONITIS, MYOSITIS AND BURSITIS WITH MCC",4387,63485.77,13505.71,11113.27
National,,National,558,"TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MCC",7358,39197.57,8280.08,6280.67
National,,National,559,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",2813,76875.54,18715.38,15910.39
National,,National,560,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",4698,42818.96,12438.6,10670.37
National,,National,561,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",1936,31754.73,11587.94,10006.86
National,,National,562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",6567,62614.28,13238.18,11106.76
National,,National,563,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC",21132,40308.91,8096.85,6128.51
National,,National,564,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC,5378,68209.75,14319.32,11977.11
National,,National,565,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC,6911,45929.71,9550.22,7303.29
National,,National,566,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITHOUT CC/MCC,1332,36004.52,7963.42,5076.1
National,,National,570,SKIN DEBRIDEMENT WITH MCC,2279,113538.8,26024.72,22221.49
National,,National,571,SKIN DEBRIDEMENT WITH CC,4160,70320.15,14807.04,12100.66
National,,National,572,SKIN DEBRIDEMENT WITHOUT CC/MCC,726,53060.94,11406.14,8575.58
National,,National,573,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MCC,582,220371.7,51372.79,42456.63
National,,National,574,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH CC,1025,136541.99,31355.12,25905.06
National,,National,575,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC,105,105987.25,19652.18,16899.8
National,,National,576,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH MCC,442,254793.21,60028.56,52684.5
National,,National,577,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH CC,1357,135064.79,28169.65,23370.52
National,,National,578,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC,675,87845.13,18683.2,14753.4
National,,National,579,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MCC",3617,129723.73,28613.22,24353.93
National,,National,580,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH CC",6597,79938.89,16047.74,12883.0
National,,National,581,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC",1865,75257.67,14124.27,10576.63
National,,National,582,MASTECTOMY FOR MALIGNANCY WITH CC/MCC,307,89316.87,18108.44,15259.05
National,,National,583,MASTECTOMY FOR MALIGNANCY WITHOUT CC/MCC,277,87572.95,15513.22,11362.45
National,,National,584,"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH CC/MCC",508,102073.34,21209.99,16103.93
National,,National,585,"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC",549,106944.91,18800.54,13300.28
National,,National,592,SKIN ULCERS WITH MCC,2779,71374.63,16647.4,14072.1
National,,National,593,SKIN ULCERS WITH CC,3354,45258.8,10758.43,8657.13
National,,National,594,SKIN ULCERS WITHOUT CC/MCC,306,31247.64,7658.23,6028.22
National,,National,595,MAJOR SKIN DISORDERS WITH MCC,893,95793.19,21089.24,18096.39
National,,National,596,MAJOR SKIN DISORDERS WITHOUT MCC,1741,46697.94,11080.48,8566.55
National,,National,597,MALIGNANT BREAST DISORDERS WITH MCC,1475,77078.96,16472.83,13469.3
National,,National,598,MALIGNANT BREAST DISORDERS WITH CC,925,51591.12,10866.25,8609.74
National,,National,599,MALIGNANT BREAST DISORDERS WITHOUT CC/MCC,29,40622.86,6918.1,5396.24
National,,National,600,NON-MALIGNANT BREAST DISORDERS WITH CC/MCC,549,42503.85,10632.76,7910.99
National,,National,601,NON-MALIGNANT BREAST DISORDERS WITHOUT CC/MCC,186,25589.2,6762.19,4429.76
National,,National,602,CELLULITIS WITH MCC,19815,56982.11,12954.83,10775.44
National,,National,603,CELLULITIS WITHOUT MCC,61791,35381.69,8317.15,6257.93
National,,National,604,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITH MCC",3651,69088.82,14321.65,12148.93
National,,National,605,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC",11494,43989.15,8759.58,6697.89
National,,National,606,MINOR SKIN DISORDERS WITH MCC,1662,67596.96,16000.46,12854.52
National,,National,607,MINOR SKIN DISORDERS WITHOUT MCC,4119,37358.49,8795.76,6675.42
National,,National,614,ADRENAL AND PITUITARY PROCEDURES WITH CC/MCC,2084,125866.04,26131.18,20114.97
National,,National,615,ADRENAL AND PITUITARY PROCEDURES WITHOUT CC/MCC,1092,82576.97,15373.63,11510.14
National,,National,616,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",2822,156688.31,33797.28,28904.96
National,,National,617,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",11417,81924.7,17720.88,14125.16
National,,National,618,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/M",54,46928.59,9954.54,7639.13
National,,National,619,O.R. PROCEDURES FOR OBESITY WITH MCC,516,126288.71,28440.5,22479.46
National,,National,620,O.R. PROCEDURES FOR OBESITY WITH CC,2358,79225.86,16272.99,11832.1
National,,National,621,O.R. PROCEDURES FOR OBESITY WITHOUT CC/MCC,6277,69144.43,14471.93,10322.53
National,,National,622,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WIT",1895,148421.93,31797.53,27372.85
National,,National,623,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WIT",4122,79271.92,17367.54,13884.06
National,,National,624,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WIT",130,47436.03,9789.85,6974.65
National,,National,625,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH MCC",538,149136.91,30090.99,24445.98
National,,National,626,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH CC",1083,84455.21,16000.21,12970.87
National,,National,627,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC",909,69693.67,12414.99,9396.34
National,,National,628,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MCC",2722,157189.1,34028.91,29954.4
National,,National,629,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH CC",3888,96476.15,20512.71,16619.39
National,,National,630,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITHOUT CC/MCC",119,84729.5,14019.53,10206.33
National,,National,637,DIABETES WITH MCC,28565,62614.2,13074.5,10777.91
National,,National,638,DIABETES WITH CC,32669,39499.58,8605.34,6526.57
National,,National,639,DIABETES WITHOUT CC/MCC,4312,28696.16,6260.37,4428.7
National,,National,640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",73654,55678.41,12072.46,10066.31
National,,National,641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",65319,34713.31,7391.35,5585.81
National,,National,642,INBORN AND OTHER DISORDERS OF METABOLISM,1630,61131.31,14696.96,11534.81
National,,National,643,ENDOCRINE DISORDERS WITH MCC,13176,70956.12,15250.22,12712.49
National,,National,644,ENDOCRINE DISORDERS WITH CC,12621,45493.92,9771.32,7686.04
National,,National,645,ENDOCRINE DISORDERS WITHOUT CC/MCC,3423,34317.9,7205.84,5214.38
National,,National,650,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITH MCC,2880,397470.3,57834.59,46663.76
National,,National,651,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITHOUT MCC,1020,343257.18,46411.66,34542.67
National,,National,652,KIDNEY TRANSPLANT,6913,317947.33,44167.42,26451.66
National,,National,653,MAJOR BLADDER PROCEDURES WITH MCC,1408,249530.78,55610.39,46851.44
National,,National,654,MAJOR BLADDER PROCEDURES WITH CC,3290,147388.38,29386.29,22589.24
National,,National,655,MAJOR BLADDER PROCEDURES WITHOUT CC/MCC,1042,110717.69,21570.98,17176.76
National,,National,656,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MCC,2248,159033.67,33023.27,27251.66
National,,National,657,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH CC,5817,96267.62,17779.46,14052.57
National,,National,658,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITHOUT CC/MCC,4432,79771.69,14663.96,11043.76
National,,National,659,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC,9736,114663.83,23845.17,20310.94
National,,National,660,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH CC,18214,65829.38,12648.78,9898.84
National,,National,661,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC,9932,53687.54,9718.51,6981.42
National,,National,662,MINOR BLADDER PROCEDURES WITH MCC,971,132835.16,27743.16,24316.43
National,,National,663,MINOR BLADDER PROCEDURES WITH CC,1796,70219.65,13482.16,11184.92
National,,National,664,MINOR BLADDER PROCEDURES WITHOUT CC/MCC,427,53845.9,10265.86,8013.1
National,,National,665,PROSTATECTOMY WITH MCC,627,138465.33,26697.03,23908.78
National,,National,666,PROSTATECTOMY WITH CC,1242,78450.82,15027.71,12688.93
National,,National,667,PROSTATECTOMY WITHOUT CC/MCC,321,52391.71,9225.42,6932.17
National,,National,668,TRANSURETHRAL PROCEDURES WITH MCC,1737,134534.69,26073.98,22647.56
National,,National,669,TRANSURETHRAL PROCEDURES WITH CC,3767,72884.8,14084.24,11768.06
National,,National,670,TRANSURETHRAL PROCEDURES WITHOUT CC/MCC,751,47515.72,9040.33,6826.29
National,,National,671,URETHRAL PROCEDURES WITH CC/MCC,307,79534.5,17899.18,14729.34
National,,National,672,URETHRAL PROCEDURES WITHOUT CC/MCC,126,61305.65,11127.21,8231.37
National,,National,673,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC,14083,156729.68,34058.04,29091.09
National,,National,674,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC,5583,105541.24,22117.76,18273.68
National,,National,675,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITHOUT CC/MCC,299,79547.33,15282.55,12206.54
National,,National,682,RENAL FAILURE WITH MCC,80197,62650.5,13275.65,11114.08
National,,National,683,RENAL FAILURE WITH CC,82015,38766.81,8329.13,6417.66
National,,National,684,RENAL FAILURE WITHOUT CC/MCC,7199,27497.18,5862.49,4090.2
National,,National,686,KIDNEY AND URINARY TRACT NEOPLASMS WITH MCC,1677,84294.55,17982.1,14582.28
National,,National,687,KIDNEY AND URINARY TRACT NEOPLASMS WITH CC,2059,48615.25,10002.72,7841.12
National,,National,688,KIDNEY AND URINARY TRACT NEOPLASMS WITHOUT CC/MCC,177,39074.17,9708.05,7160.47
National,,National,689,KIDNEY AND URINARY TRACT INFECTIONS WITH MCC,80547,48355.74,10243.03,8463.97
National,,National,690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,90553,35459.36,7463.04,5721.11
National,,National,693,URINARY STONES WITH MCC,1376,66818.86,14038.1,11461.66
National,,National,694,URINARY STONES WITHOUT MCC,5617,38771.54,7743.12,5622.01
National,,National,695,KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITH MCC,1166,50546.16,11287.18,9635.88
National,,National,696,KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MCC,4494,30888.08,6663.65,4960.37
National,,National,697,URETHRAL STRICTURE,415,45576.34,9239.36,7356.3
National,,National,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,74002,69283.76,14724.9,12411.44
National,,National,699,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC,35129,45008.79,9977.62,7851.67
National,,National,700,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITHOUT CC/MCC,2026,30901.61,7323.43,5322.22
National,,National,707,MAJOR MALE PELVIC PROCEDURES WITH CC/MCC,2012,106980.55,20320.18,15185.11
National,,National,708,MAJOR MALE PELVIC PROCEDURES WITHOUT CC/MCC,2418,82930.87,15338.9,9629.49
National,,National,709,PENIS PROCEDURES WITH CC/MCC,304,111013.79,24700.38,21321.81
National,,National,710,PENIS PROCEDURES WITHOUT CC/MCC,148,72366.18,14769.51,11024.45
National,,National,711,TESTES PROCEDURES WITH CC/MCC,315,97674.85,21356.5,17257.1
National,,National,712,TESTES PROCEDURES WITHOUT CC/MCC,69,52550.88,14596.0,10740.52
National,,National,713,TRANSURETHRAL PROSTATECTOMY WITH CC/MCC,4044,68915.17,13580.25,10934.01
National,,National,714,TRANSURETHRAL PROSTATECTOMY WITHOUT CC/MCC,948,48720.2,9115.75,6837.71
National,,National,715,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITH CC/MCC,353,101679.97,21374.07,17780.88
National,,National,716,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITHOUT CC/MCC,55,72635.56,12086.96,10092.87
National,,National,717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH CC/MCC,1710,89097.41,16759.48,13589.94
National,,National,718,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITHOUT CC/MCC,407,68495.77,11835.27,8973.84
National,,National,722,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH MCC",789,77014.86,17784.25,14859.38
National,,National,723,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH CC",1129,52470.89,11192.43,8885.68
National,,National,724,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC",48,30560.08,8167.15,5344.73
National,,National,725,BENIGN PROSTATIC HYPERTROPHY WITH MCC,818,54843.04,11667.38,9666.26
National,,National,726,BENIGN PROSTATIC HYPERTROPHY WITHOUT MCC,2255,33898.75,7413.05,5466.69
National,,National,727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITH MCC,1211,63960.51,14460.05,11892.79
National,,National,728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITHOUT MCC,2915,36384.3,8042.5,5938.01
National,,National,729,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITH CC/MCC,470,46484.65,10495.44,8426.3
National,,National,730,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC,70,30174.36,6400.56,4654.53
National,,National,734,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH CC/MCC",406,119378.57,23985.31,18582.14
National,,National,735,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITHOUT CC/MCC",164,74116.08,12692.26,9449.82
National,,National,736,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH MCC,530,195865.88,43300.15,35307.52
National,,National,737,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH CC,2074,108934.67,20523.43,16008.95
National,,National,738,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITHOUT CC/MCC,380,83382.62,13715.81,10106.11
National,,National,739,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MCC,418,198619.6,41213.85,33757.35
National,,National,740,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC,1703,99124.77,18201.73,14444.35
National,,National,741,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC,964,79374.47,12791.73,9992.7
National,,National,742,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC,2702,96264.69,18099.69,13981.39
National,,National,743,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC,2950,66293.42,11488.45,8308.41
National,,National,744,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC",1116,97292.36,19186.04,15845.47
National,,National,745,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC",91,68303.35,11877.56,10065.11
National,,National,746,"VAGINA, CERVIX AND VULVA PROCEDURES WITH CC/MCC",1054,88394.42,16842.63,13336.33
National,,National,747,"VAGINA, CERVIX AND VULVA PROCEDURES WITHOUT CC/MCC",882,50491.44,9232.15,6890.33
National,,National,748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,907,71673.26,12978.1,10199.2
National,,National,749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITH CC/MCC,782,131028.34,26006.69,21209.71
National,,National,750,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,91,73651.87,14300.73,10828.04
National,,National,754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH MCC",1758,81989.81,17961.38,14489.49
National,,National,755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH CC",1848,53185.22,11275.42,8800.77
National,,National,756,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC",140,53179.89,11484.61,8896.83
National,,National,757,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH MCC",741,64934.9,12722.1,10901.25
National,,National,758,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH CC",886,44283.0,9015.55,7052.15
National,,National,759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC",208,28641.64,6570.89,4586.57
National,,National,760,MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITH CC/MCC,1442,45847.57,9669.89,7586.75
National,,National,761,MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITHOUT CC/MCC,163,32973.86,6755.4,4938.73
National,,National,768,VAGINAL DELIVERY WITH O.R. PROCEDURES EXCEPT STERILIZATION AND/OR D&C,82,44240.04,13999.78,10588.96
National,,National,769,POSTPARTUM AND POST ABORTION DIAGNOSES WITH O.R. PROCEDURES,48,74213.0,17202.73,14349.38
National,,National,770,"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",40,50702.75,8831.45,6168.72
National,,National,776,POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT O.R. PROCEDURES,286,31186.03,8072.22,6358.59
National,,National,779,ABORTION WITHOUT D&C,33,48582.12,12545.79,10614.15
National,,National,783,CESAREAN SECTION WITH STERILIZATION WITH MCC,93,75452.51,21578.2,16686.97
National,,National,784,CESAREAN SECTION WITH STERILIZATION WITH CC,247,45803.17,11120.28,8083.63
National,,National,785,CESAREAN SECTION WITH STERILIZATION WITHOUT CC/MCC,186,37826.18,8684.24,6453.96
National,,National,786,CESAREAN SECTION WITHOUT STERILIZATION WITH MCC,382,72398.61,20877.58,15038.16
National,,National,787,CESAREAN SECTION WITHOUT STERILIZATION WITH CC,978,44315.53,11378.24,7957.64
National,,National,788,CESAREAN SECTION WITHOUT STERILIZATION WITHOUT CC/MCC,692,36907.92,8837.64,6190.51
National,,National,796,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITH MCC,14,42453.93,12987.57,11015.0
National,,National,797,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITH CC,41,36512.39,8633.8,6508.07
National,,National,798,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITHOUT CC/MCC,24,42366.38,9079.38,5909.83
National,,National,799,SPLENIC PROCEDURES WITH MCC,391,227252.3,48973.02,42857.85
National,,National,800,SPLENIC PROCEDURES WITH CC,184,128326.59,25691.85,20913.5
National,,National,801,SPLENIC PROCEDURES WITHOUT CC/MCC,68,75731.46,16357.04,11482.37
National,,National,802,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH MCC,541,173465.04,40981.23,32607.14
National,,National,803,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH CC,514,87606.01,18241.98,15347.44
National,,National,804,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITHOUT CC/MCC,210,64373.1,12753.28,8423.7
National,,National,805,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITH MCC,284,32755.44,11218.48,8634.88
National,,National,806,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITH CC,1063,24633.76,7682.59,5446.58
National,,National,807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,1510,20599.57,6602.62,4448.76
National,,National,808,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATIO,7525,104099.82,22453.43,18677.82
National,,National,809,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATIO,9295,59128.46,12485.12,9855.11
National,,National,810,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATIO,946,48247.68,10538.08,8195.48
National,,National,811,RED BLOOD CELL DISORDERS WITH MCC,27276,63695.38,13226.99,10983.27
National,,National,812,RED BLOOD CELL DISORDERS WITHOUT MCC,34239,41996.67,8853.79,6815.84
National,,National,813,COAGULATION DISORDERS,15958,74177.88,16252.01,13808.07
National,,National,814,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC,1781,98966.44,23744.11,18429.09
National,,National,815,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH CC,2213,52610.11,11368.15,8866.48
National,,National,816,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITHOUT CC/MCC,373,32404.87,7266.31,4949.61
National,,National,817,OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITH MCC,41,92594.68,32866.24,28476.61
National,,National,818,OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITH CC,32,53490.22,15334.44,12257.69
National,,National,819,OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITHOUT CC/MCC,15,43200.93,10839.47,9025.53
National,,National,820,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH MCC,1073,299959.2,64360.09,52269.27
National,,National,821,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH CC,829,117968.64,23526.85,18731.17
National,,National,822,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITHOUT CC/MCC,679,68798.56,12902.17,9650.6
National,,National,823,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH MCC,2429,226834.28,47602.34,39964.24
National,,National,824,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH CC,1906,115430.55,23189.2,18456.64
National,,National,825,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITHOUT CC/MCC,442,72173.22,13303.19,10102.99
National,,National,826,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDUR,933,232754.09,54966.53,43280.84
