geo_level,geo_code,geo_description,service_level,apc_code,apc_description,hcpcs_code,hcpcs_description,beneficiary_count,apc_services,average_total_submitted_charges,average_medicare_allowed_amount,average_medicare_payment_amount,outlier_services,average_medicare_outlier_amount
State,09,Connecticut,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,43,45,36497.13,9826.7,8226.7,0,
State,09,Connecticut,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,25,27,67472.26,18068.71,16468.71,0,0.0
State,09,Connecticut,APC,5112,Level 2 Musculoskeletal Procedures,,,672,708,9979.25,1628.9,1290.89,0,
State,09,Connecticut,APC,5113,Level 3 Musculoskeletal Procedures,,,725,735,16468.89,3326.44,2633.37,0,
State,09,Connecticut,APC,5114,Level 4 Musculoskeletal Procedures,,,1166,1182,34541.66,7493.91,5954.99,31,3098.13
State,09,Connecticut,APC,5115,Level 5 Musculoskeletal Procedures,,,4468,4608,50191.48,14831.78,13230.41,50,3383.82
State,09,Connecticut,APC,5116,Level 6 Musculoskeletal Procedures,,,201,202,82540.32,24712.34,23111.22,15,4137.72
State,09,Connecticut,APC,5153,Level 3 Airway Endoscopy,,,194,200,10830.84,1816.24,1442.68,0,0.0
State,09,Connecticut,APC,5154,Level 4 Airway Endoscopy,,,582,595,18146.53,3788.43,3010.64,0,
State,09,Connecticut,APC,5155,Level 5 Airway Endoscopy,,,314,318,27786.51,6987.09,5547.76,0,
State,09,Connecticut,APC,5163,Level 3 ENT Procedures,,,53,54,8825.09,1583.95,1251.78,0,0.0
State,09,Connecticut,APC,5164,Level 4 ENT Procedures,,,69,69,15041.68,3209.42,2554.49,0,0.0
State,09,Connecticut,APC,5165,Level 5 ENT Procedures,,,352,353,28542.45,6060.43,4803.71,18,4022.27
State,09,Connecticut,APC,5166,Cochlear Implant Procedure,,,33,34,88817.93,37595.51,35995.51,0,0.0
State,09,Connecticut,APC,5182,Level 2 Vascular Procedures,,,536,565,8034.61,1696.99,1344.53,0,
State,09,Connecticut,APC,5183,Level 3 Vascular Procedures,,,1666,1724,16005.75,3406.46,2704.33,24,5078.06
State,09,Connecticut,APC,5184,Level 4 Vascular Procedures,,,415,444,32036.47,5564.28,4408.32,31,9212.46
State,09,Connecticut,APC,5191,Level 1 Endovascular Procedures,,,2142,2150,20040.91,3374.55,2362.62,0,
State,09,Connecticut,APC,5192,Level 2 Endovascular Procedures,,,380,409,31572.06,6000.52,4767.32,15,3956.0
State,09,Connecticut,APC,5193,Level 3 Endovascular Procedures,,,798,853,58024.58,11878.11,10295.99,52,3113.24
State,09,Connecticut,APC,5194,Level 4 Endovascular Procedures,,,198,203,72646.07,19564.44,17967.52,0,
State,09,Connecticut,APC,5200,Implantation Wireless PA Pressure Monitor,,,76,76,90431.3,31474.33,29873.36,0,
State,09,Connecticut,APC,5212,Level 2 Electrophysiologic Procedures,,,34,34,39091.34,7798.69,6224.88,0,
State,09,Connecticut,APC,5213,Level 3 Electrophysiologic Procedures,,,612,620,95230.96,26805.55,25204.14,19,2909.79
State,09,Connecticut,APC,5222,Level 2 Pacemaker and Similar Procedures,,,376,377,31275.95,9523.86,7920.58,0,
State,09,Connecticut,APC,5223,Level 3 Pacemaker and Similar Procedures,,,643,644,35740.69,11874.05,10271.53,0,0.0
State,09,Connecticut,APC,5224,Level 4 Pacemaker and Similar Procedures,,,100,100,60853.84,21783.38,20181.42,0,
State,09,Connecticut,APC,5231,Level 1 ICD and Similar Procedures,,,62,62,64695.71,25614.05,24014.05,0,0.0
State,09,Connecticut,APC,5232,Level 2 ICD and Similar Procedures,,,250,251,99009.26,36545.18,34945.18,0,
State,09,Connecticut,APC,5302,Level 2 Upper GI Procedures,,,1948,2165,10377.3,1999.73,1592.28,0,
State,09,Connecticut,APC,5303,Level 3 Upper GI Procedures,,,294,300,18283.66,3674.53,2911.62,0,
State,09,Connecticut,APC,5313,Level 3 Lower GI Procedures,,,471,481,13243.17,2853.04,2282.79,0,
State,09,Connecticut,APC,5331,Complex GI Procedures,,,250,306,23086.08,6001.66,4776.38,19,3217.78
State,09,Connecticut,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,862,1004,18414.42,4024.61,3195.84,15,3896.24
State,09,Connecticut,APC,5361,Level 1 Laparoscopy and Related Services,,,1610,1620,27841.79,5919.15,4687.92,45,3515.32
State,09,Connecticut,APC,5362,Level 2 Laparoscopy and Related Services,,,745,749,42828.68,10185.03,8582.37,34,1387.35
State,09,Connecticut,APC,5372,Level 2 Urology and Related Services,,,1677,2600,2491.07,697.27,550.1,0,
State,09,Connecticut,APC,5373,Level 3 Urology and Related Services,,,1757,2136,10800.49,2082.12,1651.93,0,
State,09,Connecticut,APC,5374,Level 4 Urology and Related Services,,,1763,1958,15210.47,3685.82,2926.59,0,
State,09,Connecticut,APC,5375,Level 5 Urology and Related Services,,,1798,1887,20423.69,5373.91,4270.61,0,
State,09,Connecticut,APC,5376,Level 6 Urology and Related Services,,,99,100,30966.44,9785.95,8185.95,0,
State,09,Connecticut,APC,5377,Level 7 Urology and Related Services,,,0,0,,,,0,
State,09,Connecticut,APC,5378,Level 8 Urology and Related Services,,,46,47,60428.81,21325.41,19715.79,0,0.0
State,09,Connecticut,APC,5414,Level 4 Gynecologic Procedures,,,559,570,14521.11,3140.6,2491.52,0,0.0
State,09,Connecticut,APC,5415,Level 5 Gynecologic Procedures,,,212,213,22701.12,5221.29,4134.56,0,0.0
State,09,Connecticut,APC,5416,Level 6 Gynecologic Procedures,,,125,125,34645.8,7890.22,6298.65,0,
State,09,Connecticut,APC,5431,Level 1 Nerve Procedures,,,462,525,10717.29,2058.43,1632.53,0,
State,09,Connecticut,APC,5432,Level 2 Nerve Procedures,,,18,18,39896.18,6799.18,5351.38,0,
State,09,Connecticut,APC,5461,Level 1 Neurostimulator and Related Procedures,,,33,33,21443.33,3677.74,2912.76,0,
State,09,Connecticut,APC,5462,Level 2 Neurostimulator and Related Procedures,,,103,112,26200.87,7429.26,5916.76,0,
State,09,Connecticut,APC,5463,Level 3 Neurostimulator and Related Procedures,,,0,0,,,,0,
State,09,Connecticut,APC,5464,Level 4 Neurostimulator and Related Procedures,,,139,146,59970.24,24600.65,22999.1,0,
State,09,Connecticut,APC,5465,Level 5 Neurostimulator and Related Procedures,,,104,104,99924.06,32499.17,30898.58,0,0.0
State,09,Connecticut,APC,5471,Implantation of Drug Infusion Device,,,28,28,50332.8,18742.77,17142.77,0,
State,09,Connecticut,APC,5491,Level 1 Intraocular Procedures,,,2664,4052,9280.44,2272.25,1803.83,0,0.0
State,09,Connecticut,APC,5492,Level 2 Intraocular Procedures,,,368,407,15646.82,4237.49,3360.29,0,0.0
State,09,Connecticut,APC,5493,Level 3 Intraocular Procedures,,,0,0,,,,0,
State,09,Connecticut,APC,5494,Level 4 Intraocular Procedures,,,0,0,,,,0,
State,09,Connecticut,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,212,219,11000.18,2239.25,1777.11,0,0.0
State,09,Connecticut,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,43,43,17987.8,3902.37,3094.63,0,0.0
State,09,Connecticut,APC,5627,Level 7 Radiation Therapy,,,88,97,68325.74,8772.99,7172.99,38,1329.25
State,09,Connecticut,APC,5881,Ancillary Outpatient Services When Patient Dies,,,0,0,,,,0,
State,09,Connecticut,APC,8011,Comprehensive Observation Services,,,13644,15700,22758.46,2797.68,2265.9,207,5106.67
State,10,Delaware,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,1599,1688,7420.16,1530.75,1213.99,0,
State,10,Delaware,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,375,389,14112.08,2602.49,2065.18,0,
State,10,Delaware,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,328,351,15661.26,3525.48,2798.83,0,0.0
State,10,Delaware,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,297,301,27917.67,6143.59,4890.88,0,0.0
State,10,Delaware,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,18,18,29325.62,8285.38,6678.26,0,
State,10,Delaware,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,20,20,79581.97,17252.25,15652.25,0,
State,10,Delaware,APC,5112,Level 2 Musculoskeletal Procedures,,,299,312,5353.35,1478.19,1174.61,0,0.0
State,10,Delaware,APC,5113,Level 3 Musculoskeletal Procedures,,,465,471,14720.59,3052.76,2424.64,0,
State,10,Delaware,APC,5114,Level 4 Musculoskeletal Procedures,,,621,630,28978.23,6716.44,5329.8,37,4004.96
State,10,Delaware,APC,5115,Level 5 Musculoskeletal Procedures,,,2739,2852,42478.9,13327.17,11726.13,23,1535.72
State,10,Delaware,APC,5116,Level 6 Musculoskeletal Procedures,,,186,186,71443.35,22182.75,20575.99,16,3031.56
State,10,Delaware,APC,5153,Level 3 Airway Endoscopy,,,103,105,8662.31,1656.7,1319.96,0,0.0
State,10,Delaware,APC,5154,Level 4 Airway Endoscopy,,,231,232,12533.68,3384.5,2680.29,0,0.0
State,10,Delaware,APC,5155,Level 5 Airway Endoscopy,,,208,209,21237.24,6323.46,5021.67,0,
State,10,Delaware,APC,5163,Level 3 ENT Procedures,,,22,22,7184.65,1438.63,1146.23,0,0.0
State,10,Delaware,APC,5164,Level 4 ENT Procedures,,,43,43,12304.9,2948.55,2346.63,0,0.0
State,10,Delaware,APC,5165,Level 5 ENT Procedures,,,120,123,24442.86,5426.39,4298.67,0,
State,10,Delaware,APC,5166,Cochlear Implant Procedure,,,16,16,177077.23,34441.13,32835.18,0,0.0
State,10,Delaware,APC,5182,Level 2 Vascular Procedures,,,233,258,6450.11,1537.32,1217.98,0,
State,10,Delaware,APC,5183,Level 3 Vascular Procedures,,,730,745,12111.44,3058.79,2429.65,0,
State,10,Delaware,APC,5184,Level 4 Vascular Procedures,,,223,244,20187.0,4912.63,3893.67,0,0.0
State,10,Delaware,APC,5191,Level 1 Endovascular Procedures,,,1433,1435,17494.77,3051.06,2137.21,0,
State,10,Delaware,APC,5192,Level 2 Endovascular Procedures,,,213,213,30007.03,5364.68,4263.9,0,
State,10,Delaware,APC,5193,Level 3 Endovascular Procedures,,,548,579,62326.07,10888.66,9288.15,149,2703.89
State,10,Delaware,APC,5194,Level 4 Endovascular Procedures,,,111,112,89249.98,17619.11,16015.67,15,4358.73
State,10,Delaware,APC,5200,Implantation Wireless PA Pressure Monitor,,,0,0,,,,0,
State,10,Delaware,APC,5212,Level 2 Electrophysiologic Procedures,,,18,18,42110.8,6977.61,5559.4,0,
State,10,Delaware,APC,5213,Level 3 Electrophysiologic Procedures,,,338,344,133765.68,24137.3,22531.91,137,3804.18
State,10,Delaware,APC,5222,Level 2 Pacemaker and Similar Procedures,,,205,207,25022.14,8457.28,6855.7,0,0.0
State,10,Delaware,APC,5223,Level 3 Pacemaker and Similar Procedures,,,330,330,41352.5,10611.2,9008.07,0,
State,10,Delaware,APC,5224,Level 4 Pacemaker and Similar Procedures,,,58,58,78204.34,19304.42,17704.42,0,0.0
State,10,Delaware,APC,5231,Level 1 ICD and Similar Procedures,,,32,32,85332.93,23584.2,21977.14,0,0.0
State,10,Delaware,APC,5232,Level 2 ICD and Similar Procedures,,,183,183,143246.4,32885.54,31281.6,12,2592.57
State,10,Delaware,APC,5302,Level 2 Upper GI Procedures,,,646,718,8307.22,1789.21,1423.15,0,
State,10,Delaware,APC,5303,Level 3 Upper GI Procedures,,,82,83,16661.29,3316.68,2622.38,0,
State,10,Delaware,APC,5313,Level 3 Lower GI Procedures,,,156,160,15813.84,2649.45,2118.68,0,
State,10,Delaware,APC,5331,Complex GI Procedures,,,76,83,26235.42,5431.36,4325.26,0,
State,10,Delaware,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,328,363,15898.15,3624.58,2880.44,0,
State,10,Delaware,APC,5361,Level 1 Laparoscopy and Related Services,,,927,929,25802.69,5346.4,4244.09,25,3391.1
State,10,Delaware,APC,5362,Level 2 Laparoscopy and Related Services,,,338,338,34083.49,9297.1,7691.6,0,
State,10,Delaware,APC,5372,Level 2 Urology and Related Services,,,507,606,2872.84,638.21,499.81,0,0.0
State,10,Delaware,APC,5373,Level 3 Urology and Related Services,,,921,1104,8945.84,1877.81,1489.1,0,0.0
State,10,Delaware,APC,5374,Level 4 Urology and Related Services,,,611,712,12590.25,3247.46,2579.42,0,
State,10,Delaware,APC,5375,Level 5 Urology and Related Services,,,578,598,19662.82,4834.31,3840.17,0,0.0
State,10,Delaware,APC,5376,Level 6 Urology and Related Services,,,28,28,28326.72,8864.7,7264.7,0,0.0
State,10,Delaware,APC,5378,Level 8 Urology and Related Services,,,16,16,79196.66,19933.72,18333.72,0,0.0
State,10,Delaware,APC,5414,Level 4 Gynecologic Procedures,,,336,342,11519.59,2905.98,2307.13,0,0.0
State,10,Delaware,APC,5415,Level 5 Gynecologic Procedures,,,103,113,17508.87,4702.13,3722.67,0,
State,10,Delaware,APC,5416,Level 6 Gynecologic Procedures,,,76,76,20324.59,7177.88,5696.34,0,
State,10,Delaware,APC,5431,Level 1 Nerve Procedures,,,176,193,8462.51,1855.21,1475.8,0,0.0
State,10,Delaware,APC,5432,Level 2 Nerve Procedures,,,0,0,,,,0,
State,10,Delaware,APC,5461,Level 1 Neurostimulator and Related Procedures,,,20,20,33247.93,3231.89,2538.75,0,
State,10,Delaware,APC,5462,Level 2 Neurostimulator and Related Procedures,,,20,21,25620.36,6844.02,5452.96,0,
State,10,Delaware,APC,5463,Level 3 Neurostimulator and Related Procedures,,,0,0,,,,0,
State,10,Delaware,APC,5464,Level 4 Neurostimulator and Related Procedures,,,31,33,96499.47,22239.34,20632.49,0,
State,10,Delaware,APC,5465,Level 5 Neurostimulator and Related Procedures,,,100,101,142611.61,30050.03,28449.46,0,
State,10,Delaware,APC,5471,Implantation of Drug Infusion Device,,,17,18,78290.27,16630.95,15030.95,0,0.0
State,10,Delaware,APC,5491,Level 1 Intraocular Procedures,,,283,415,7525.21,2214.05,1754.13,0,0.0
State,10,Delaware,APC,5492,Level 2 Intraocular Procedures,,,107,109,17699.09,4050.22,3201.75,0,0.0
State,10,Delaware,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,13,13,15722.5,2191.11,1745.76,0,0.0
State,10,Delaware,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,0,0,,,,0,
State,10,Delaware,APC,5627,Level 7 Radiation Therapy,,,0,0,,,,0,
State,10,Delaware,APC,5881,Ancillary Outpatient Services When Patient Dies,,,0,0,,,,0,
State,10,Delaware,APC,8011,Comprehensive Observation Services,,,5023,5435,16185.8,2518.11,2058.89,36,6459.02
State,11,District of Columbia,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,1260,1318,11001.17,1570.76,1244.45,0,
State,11,District of Columbia,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,349,373,19718.88,2723.31,2161.04,0,
State,11,District of Columbia,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,267,276,27346.0,3624.98,2879.48,0,
State,11,District of Columbia,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,238,240,44341.47,6290.25,5002.32,21,3963.64
State,11,District of Columbia,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,31,31,49653.64,9224.93,7650.74,0,
State,11,District of Columbia,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,0,0,,,,0,
State,11,District of Columbia,APC,5112,Level 2 Musculoskeletal Procedures,,,196,200,12076.07,1497.54,1183.0,0,
State,11,District of Columbia,APC,5113,Level 3 Musculoskeletal Procedures,,,189,191,26007.89,3122.68,2475.1,0,
State,11,District of Columbia,APC,5114,Level 4 Musculoskeletal Procedures,,,299,304,43430.7,6931.97,5499.01,19,4520.53
State,11,District of Columbia,APC,5115,Level 5 Musculoskeletal Procedures,,,893,920,62205.22,13650.7,12050.39,34,2102.95
State,11,District of Columbia,APC,5116,Level 6 Musculoskeletal Procedures,,,40,40,112214.2,23268.53,21668.53,0,
State,11,District of Columbia,APC,5153,Level 3 Airway Endoscopy,,,88,89,11641.36,1688.04,1339.21,0,
State,11,District of Columbia,APC,5154,Level 4 Airway Endoscopy,,,265,269,21824.57,3532.2,2808.25,0,
State,11,District of Columbia,APC,5155,Level 5 Airway Endoscopy,,,229,229,45545.95,6502.05,5161.06,33,2391.2
State,11,District of Columbia,APC,5163,Level 3 ENT Procedures,,,14,18,8163.75,1479.23,1168.57,0,0.0
State,11,District of Columbia,APC,5164,Level 4 ENT Procedures,,,33,33,27318.02,2985.49,2373.23,0,
State,11,District of Columbia,APC,5165,Level 5 ENT Procedures,,,303,306,47133.15,5551.26,4393.13,31,5893.4
State,11,District of Columbia,APC,5166,Cochlear Implant Procedure,,,18,19,115128.87,35407.39,33807.39,0,0.0
State,11,District of Columbia,APC,5182,Level 2 Vascular Procedures,,,213,221,6895.53,1549.7,1225.36,0,
State,11,District of Columbia,APC,5183,Level 3 Vascular Procedures,,,767,795,19903.96,3109.68,2463.22,12,4971.27
State,11,District of Columbia,APC,5184,Level 4 Vascular Procedures,,,415,437,34275.82,5294.73,4198.57,37,4676.47
State,11,District of Columbia,APC,5191,Level 1 Endovascular Procedures,,,944,981,27315.38,3090.97,2154.17,53,3814.25
State,11,District of Columbia,APC,5192,Level 2 Endovascular Procedures,,,287,341,29462.38,5427.0,4299.72,0,
State,11,District of Columbia,APC,5193,Level 3 Endovascular Procedures,,,530,557,57487.56,11073.53,9469.54,39,2449.26
State,11,District of Columbia,APC,5194,Level 4 Endovascular Procedures,,,137,139,88243.82,18141.68,16540.05,0,
State,11,District of Columbia,APC,5200,Implantation Wireless PA Pressure Monitor,,,0,0,,,,0,
State,11,District of Columbia,APC,5212,Level 2 Electrophysiologic Procedures,,,34,34,54880.74,7173.58,5715.54,0,
State,11,District of Columbia,APC,5213,Level 3 Electrophysiologic Procedures,,,552,561,108982.21,24408.49,22806.42,0,0.0
State,11,District of Columbia,APC,5222,Level 2 Pacemaker and Similar Procedures,,,63,63,45410.5,8581.33,6978.99,0,
State,11,District of Columbia,APC,5223,Level 3 Pacemaker and Similar Procedures,,,204,205,52538.04,10901.8,9299.6,11,1723.63
State,11,District of Columbia,APC,5224,Level 4 Pacemaker and Similar Procedures,,,42,42,96538.42,19411.27,17811.27,0,
State,11,District of Columbia,APC,5231,Level 1 ICD and Similar Procedures,,,16,16,120018.15,24245.53,22645.53,0,0.0
State,11,District of Columbia,APC,5232,Level 2 ICD and Similar Procedures,,,115,115,156554.91,32790.3,31187.5,0,
State,11,District of Columbia,APC,5302,Level 2 Upper GI Procedures,,,955,1077,9271.98,1817.85,1442.47,0,
State,11,District of Columbia,APC,5303,Level 3 Upper GI Procedures,,,130,132,11444.13,3379.63,2674.8,0,0.0
State,11,District of Columbia,APC,5313,Level 3 Lower GI Procedures,,,208,213,12772.68,2678.78,2181.77,0,0.0
State,11,District of Columbia,APC,5331,Complex GI Procedures,,,187,209,17752.13,5520.01,4384.79,0,
State,11,District of Columbia,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,319,339,26029.96,3727.54,2959.5,0,
State,11,District of Columbia,APC,5361,Level 1 Laparoscopy and Related Services,,,516,518,29290.8,5495.04,4364.95,19,4808.32
State,11,District of Columbia,APC,5362,Level 2 Laparoscopy and Related Services,,,416,419,55772.73,9429.1,7833.3,37,2291.96
State,11,District of Columbia,APC,5372,Level 2 Urology and Related Services,,,366,892,3692.83,664.41,526.26,0,
State,11,District of Columbia,APC,5373,Level 3 Urology and Related Services,,,602,676,16264.35,1913.88,1510.97,0,
State,11,District of Columbia,APC,5374,Level 4 Urology and Related Services,,,402,449,21813.75,3333.33,2647.16,0,
State,11,District of Columbia,APC,5375,Level 5 Urology and Related Services,,,576,612,31310.36,4919.91,3900.44,11,3628.28
State,11,District of Columbia,APC,5376,Level 6 Urology and Related Services,,,100,102,36796.5,8965.55,7365.55,0,
State,11,District of Columbia,APC,5377,Level 7 Urology and Related Services,,,0,0,,,,0,
State,11,District of Columbia,APC,5378,Level 8 Urology and Related Services,,,21,21,71289.22,18205.58,16637.39,0,0.0
State,11,District of Columbia,APC,5414,Level 4 Gynecologic Procedures,,,206,209,20796.5,2966.66,2353.15,0,0.0
State,11,District of Columbia,APC,5415,Level 5 Gynecologic Procedures,,,69,71,32110.54,4883.23,3876.89,0,
State,11,District of Columbia,APC,5416,Level 6 Gynecologic Procedures,,,45,45,45928.9,7249.31,5724.9,0,0.0
State,11,District of Columbia,APC,5431,Level 1 Nerve Procedures,,,139,162,14953.96,1874.62,1484.91,0,0.0
State,11,District of Columbia,APC,5432,Level 2 Nerve Procedures,,,0,0,,,,0,
State,11,District of Columbia,APC,5461,Level 1 Neurostimulator and Related Procedures,,,0,0,,,,0,
State,11,District of Columbia,APC,5462,Level 2 Neurostimulator and Related Procedures,,,32,34,43629.05,6706.47,5276.34,0,
State,11,District of Columbia,APC,5463,Level 3 Neurostimulator and Related Procedures,,,0,0,,,,0,
State,11,District of Columbia,APC,5464,Level 4 Neurostimulator and Related Procedures,,,27,29,77966.07,19933.28,18331.84,0,0.0
State,11,District of Columbia,APC,5465,Level 5 Neurostimulator and Related Procedures,,,66,66,113287.34,29840.77,28240.77,0,0.0
State,11,District of Columbia,APC,5471,Implantation of Drug Infusion Device,,,12,12,85140.16,15290.62,13671.78,0,0.0
State,11,District of Columbia,APC,5491,Level 1 Intraocular Procedures,,,519,635,21981.37,2264.45,1794.31,0,
State,11,District of Columbia,APC,5492,Level 2 Intraocular Procedures,,,91,98,29498.66,4153.37,3287.2,0,0.0
State,11,District of Columbia,APC,5493,Level 3 Intraocular Procedures,,,0,0,,,,0,
State,11,District of Columbia,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,81,81,24321.35,2230.54,1770.44,0,0.0
State,11,District of Columbia,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,20,20,23156.03,3427.63,2670.64,0,0.0
State,11,District of Columbia,APC,5627,Level 7 Radiation Therapy,,,21,21,60146.11,8192.8,6592.8,0,
State,11,District of Columbia,APC,5881,Ancillary Outpatient Services When Patient Dies,,,0,0,,,,0,
State,11,District of Columbia,APC,8011,Comprehensive Observation Services,,,1614,1735,24940.75,2554.43,2119.8,94,5184.68
State,12,Florida,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,19831,20855,13734.18,1349.16,1069.75,55,5724.34
State,12,Florida,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,8403,9406,25968.37,2324.27,1845.88,88,5225.19
State,12,Florida,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,3529,3622,38422.81,3115.24,2475.74,47,6131.35
State,12,Florida,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,3909,3923,62403.4,5370.41,4268.35,179,4190.76
State,12,Florida,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,495,516,84390.2,8007.08,6412.52,88,5432.43
State,12,Florida,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,274,281,140865.04,15042.9,13441.31,56,3549.52
State,12,Florida,APC,5112,Level 2 Musculoskeletal Procedures,,,3825,3990,19539.04,1247.59,988.08,0,
State,12,Florida,APC,5113,Level 3 Musculoskeletal Procedures,,,5572,5648,40710.14,2662.72,2114.3,89,4969.96
State,12,Florida,APC,5114,Level 4 Musculoskeletal Procedures,,,10592,10706,69774.62,5941.69,4720.52,338,3914.69
State,12,Florida,APC,5115,Level 5 Musculoskeletal Procedures,,,27981,28880,104393.63,11795.79,10194.71,553,2134.21
State,12,Florida,APC,5116,Level 6 Musculoskeletal Procedures,,,1198,1212,155795.56,19782.16,18180.47,37,3226.27
State,12,Florida,APC,5153,Level 3 Airway Endoscopy,,,2822,3099,19246.85,1441.8,1145.82,0,
State,12,Florida,APC,5154,Level 4 Airway Endoscopy,,,3618,3923,34961.2,2997.51,2381.92,80,3981.41
State,12,Florida,APC,5155,Level 5 Airway Endoscopy,,,2408,2432,63073.95,5554.23,4416.98,201,3240.66
State,12,Florida,APC,5163,Level 3 ENT Procedures,,,283,360,15101.82,1227.75,976.12,0,0.0
State,12,Florida,APC,5164,Level 4 ENT Procedures,,,777,795,35135.71,2502.15,1985.7,17,4149.77
State,12,Florida,APC,5165,Level 5 ENT Procedures,,,2928,2954,56484.75,4720.14,3746.94,113,4708.9
State,12,Florida,APC,5166,Cochlear Implant Procedure,,,228,229,152797.65,28393.07,26709.12,0,0.0
State,12,Florida,APC,5182,Level 2 Vascular Procedures,,,4764,4961,12686.12,1336.04,1059.02,38,5935.11
State,12,Florida,APC,5183,Level 3 Vascular Procedures,,,11488,12169,27958.59,2686.32,2133.35,101,5458.72
State,12,Florida,APC,5184,Level 4 Vascular Procedures,,,3485,3705,52937.97,4497.15,3572.14,150,5591.73
State,12,Florida,APC,5191,Level 1 Endovascular Procedures,,,21714,21808,39750.8,2682.37,1878.12,81,3892.18
State,12,Florida,APC,5192,Level 2 Endovascular Procedures,,,3641,3856,49936.05,4730.9,3758.91,67,3611.6
State,12,Florida,APC,5193,Level 3 Endovascular Procedures,,,10107,10674,101544.9,9570.17,7976.66,547,2444.9
State,12,Florida,APC,5194,Level 4 Endovascular Procedures,,,2583,2667,134160.21,15476.17,13883.23,88,2923.86
State,12,Florida,APC,5200,Implantation Wireless PA Pressure Monitor,,,79,80,114101.5,24970.4,23370.4,0,0.0
State,12,Florida,APC,5211,Level 1 Electrophysiologic Procedures,,,39,40,11999.43,1024.76,811.31,0,0.0
State,12,Florida,APC,5212,Level 2 Electrophysiologic Procedures,,,594,597,63915.41,6126.49,4874.04,35,4398.39
State,12,Florida,APC,5213,Level 3 Electrophysiologic Procedures,,,8276,8467,176332.6,21267.89,19665.0,477,2360.47
State,12,Florida,APC,5222,Level 2 Pacemaker and Similar Procedures,,,2369,2372,47259.13,7397.35,5877.28,12,4734.62
State,12,Florida,APC,5223,Level 3 Pacemaker and Similar Procedures,,,5066,5070,73733.53,9412.24,7809.19,114,3084.43
State,12,Florida,APC,5224,Level 4 Pacemaker and Similar Procedures,,,717,718,128674.89,16979.04,15375.91,27,2154.33
State,12,Florida,APC,5231,Level 1 ICD and Similar Procedures,,,374,374,142124.95,20552.3,18949.33,0,
State,12,Florida,APC,5232,Level 2 ICD and Similar Procedures,,,2116,2118,191360.99,28995.58,27392.3,0,
State,12,Florida,APC,5302,Level 2 Upper GI Procedures,,,12413,13595,17921.7,1572.88,1253.0,31,5808.7
State,12,Florida,APC,5303,Level 3 Upper GI Procedures,,,1589,1635,31971.57,2946.05,2340.52,12,3828.53
State,12,Florida,APC,5313,Level 3 Lower GI Procedures,,,2557,2611,30528.94,2318.95,1856.81,0,
State,12,Florida,APC,5331,Complex GI Procedures,,,1177,1308,44390.33,4751.44,3781.18,26,4167.85
State,12,Florida,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,4637,4860,42452.25,3193.65,2534.44,146,4914.48
State,12,Florida,APC,5361,Level 1 Laparoscopy and Related Services,,,10855,10917,61832.21,4709.44,3738.12,396,4082.81
State,12,Florida,APC,5362,Level 2 Laparoscopy and Related Services,,,6328,6342,92671.17,8225.44,6623.81,891,3134.5
State,12,Florida,APC,5372,Level 2 Urology and Related Services,,,4135,7205,4032.75,557.23,439.89,0,
State,12,Florida,APC,5373,Level 3 Urology and Related Services,,,7563,8915,22892.05,1669.34,1324.76,17,5722.15
State,12,Florida,APC,5374,Level 4 Urology and Related Services,,,8797,9766,34795.93,2865.83,2276.37,45,5508.03
