Hospital_Name,Address,City,State,ZIP,Top_Procedures
Centerpoint Medical Center,MO,Independence,19600 East 39th Street,64057,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
North Kansas City Hospital,MO,North Kansas City,2800 Clay Edwards Drive,64116,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Western Missouri Medical Center,MO,Warrensburg,403 Burkarth Road,64093,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation of Drug Infusion Device
University Health Lakewood Medical Center,MO,Kansas City,7900 Lee's Summit Rd,64139,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Ssm Health Depaul Hospital St Louis,MO,Bridgeton,12303 Depaul Drive,63044,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Ssm Health Saint Louis University Hospital,MO,Saint Louis,3635 Vista Ave,63110,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Missouri Baptist Medical Center,MO,Town And Country,3015 N Ballas Rd,63131,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Southeasthealth,MO,Cape Girardeau,1701 Lacey St,63701,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Missouri Delta Medical Center,MO,Sikeston,1008 North Main St,63801,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Poplar Bluff Regional Medical Center,MO,Poplar Bluff,3100 Oak Grove Road,63901,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Freeman Health System - Freeman West,MO,Joplin,1102 West 32nd Street,64804,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
St Lukes Hospital Of Kansas City,MO,Kansas City,4401 Wornall Road,64111,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
University Of Missouri Health Care,MO,Columbia,One Hospital Drive,65212,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Fitzgibbon Hospital,MO,Marshall,2305 S 65 Highway,65340,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Laparoscopy and Related Services
Southeasthealth Center Of Stoddard County,MO,Dexter,1200 N One Mile Rd,63841,Comprehensive Observation Services | Level 2 Musculoskeletal Procedures | Level 2 Upper GI Procedures
Barnes-Jewish West County Hospital,MO,Creve Coeur,12634 Olive Boulevard,63141,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Parkland Health Center,MO,Farmington,1101 W Liberty,63640,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Golden Valley Memorial Hospital,MO,Clinton,1600 N 2nd St,64735,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
St Luke's Des Peres Hospital,MO,Saint Louis,2345 Dougherty Ferry Road,63122,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Liberty Hospital,MO,Liberty,2525 Glenn Hendren Dr,64069,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Lukes Hospital,MO,Chesterfield,232 S Woods Mill Rd,63017,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Christian Hospital Northeast-Northwest,MO,Saint Louis,11133 Dunn Road,63136,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Saint Francis Medical Center,MO,Cape Girardeau,211 St Francis Dr,63703,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Lake Regional Health System,MO,Osage Beach,54 Hospital Drive,65065,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Lee's Summit Medical Center,MO,Lees Summit,2100 Se Blue Parkway,64063,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Barnes-Jewish St Peters Hospital,MO,Saint Peters,10 Hospital Dr,63376,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
St Mary's Medical Center,MO,Blue Springs,201 Nw R D Mize Rd,64014,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Citizens Memorial Hospital,MO,Bolivar,1500 N Oakland,65613,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Ssm Health St Joseph Hospital-Lake Saint Louis,MO,Lake Saint Louis,100 Medical Plaza,63367,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
South City Hospital,MO,Saint Louis,3933 S Broadway,63118,Comprehensive Observation Services | Level 1 Endovascular Procedures | Level 1 Intraocular Procedures
Belton Regional Medical Center,MO,Belton,17065 S 71 Highway,64012,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Saint Luke's East Hospital,MO,Lees Summit,100 N E Saint Luke's Boulevard,64086,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Progress West Hospital,MO,O Fallon,2 Progress Point Pkwy,63368,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Beacon Surgery Center,MO,Lees Summit,"2861 Ne Independence Avenue, Ste 101",64064,Abdominal/Peritoneal/Biliary and Related Procedures | Level 1 Intraocular Procedures | Level 1 Laparoscopy and Related Services
St Louis Childrens Hospital,MO,Saint Louis,One Childrens Place,63110,Cochlear Implant Procedure | Comprehensive Observation Services | Level 1 Endovascular Procedures
Childrens Mercy Hospital,MO,Kansas City,2401 Gillham Road,64108,Level 2 Endovascular Procedures | Level 2 Excision/ Biopsy/ Incision and Drainage | Level 2 Upper GI Procedures
St Peters Health,MT,Helena,2475 Broadway,59601,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Billings Clinic Hospital,MT,Billings,2800 10th Ave N,59101,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Benefis Hospitals Inc,MT,Great Falls,1101 26th St S,59405,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Patrick Hospital,MT,Missoula,500 W Broadway,59806,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
St James Healthcare,MT,Butte,400 S Clark St,59701,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Community Medical Center,MT,Missoula,2827 Fort Missoula Rd,59804,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Northern Montana Hospital,MT,Havre,30 13th St,59501,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Vincent Healthcare,MT,Billings,1233 N 30th St,59101,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Logan Health Medical Center,MT,Kalispell,310 Sunnyview Lane,59901,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Bozeman Health Deaconess Regional Medical Center,MT,Bozeman,915 Highland Blvd,59715,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Great Falls Clinic Hospital,MT,Great Falls,3010 15th Avenue South,59405,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Yellowstone Surgery Center Llc,MT,Billings,1144 N 28th Street,59101,Abdominal/Peritoneal/Biliary and Related Procedures | Level 1 Breast/Lymphatic Surgery and Related Procedures | Level 1 Laparoscopy and Related Services
Yellowstone Surgery Center West,MT,Billings,1739 Spring Creek Drive,59102,Level 2 Musculoskeletal Procedures | Level 5 Musculoskeletal Procedures
Missoula Bone & Joint Surgery Center Llc,MT,Missoula,2360 Mullen Dr Ste B,59808,Level 1 Nerve Procedures | Level 2 Excision/ Biopsy/ Incision and Drainage | Level 2 Musculoskeletal Procedures
Bryan Medical Center,NE,Lincoln,1600 South 48th St,68506,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Chi Health Good Samaritan,NE,Kearney,"P O Box 1990, 10 East 31st St",68847,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
The Nebraska Medical Center,NE,Omaha,987400 Nebraska Medical Center,68198,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Chi Health St Elizabeth,NE,Lincoln,555 South 70th St,68510,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Chi Health St Francis,NE,Grand Island,2620 West Faidley Ave,68803,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation of Drug Infusion Device
Mary Lanning Healthcare,NE,Hastings,715 N St Joseph Ave,68901,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Methodist Hospital,NE,Omaha,8303 Dodge St,68114,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Chi Health Creighton University Medical Center - B,NE,Omaha,7500 Mercy Rd,68124,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Regional West Medical Center,NE,Scottsbluff,4021 Ave B,69361,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Great Plains Health,NE,North Platte,601 West Leota St,69101,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation of Drug Infusion Device
Methodist Fremont Health,NE,Fremont,450 East 23rd St,68025,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Chi Health Immanuel,NE,Omaha,6901 North 72nd St,68122,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Chi Health Midlands,NE,Papillion,11111 South 84th St,68046,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
"Columbus Community Hospital, Inc",NE,Columbus,4600 38th St,68601,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Faith Regional Health Services,NE,Norfolk,2700 West Norfolk Ave,68701,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Lincoln Surgical Hospital,NE,Lincoln,1710 South 70th Street,68506,Abdominal/Peritoneal/Biliary and Related Procedures | Level 1 Breast/Lymphatic Surgery and Related Procedures | Level 1 Intraocular Procedures
Chi Health Nebraska Heart,NE,Lincoln,7500 South 91st St,68526,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Endovascular Procedures
Orthonebraska Hospital,NE,Omaha,2808 South 143rd Plaza,68144,Level 1 Nerve Procedures | Level 2 Excision/ Biopsy/ Incision and Drainage | Level 2 Musculoskeletal Procedures
Chi Health Lakeside,NE,Omaha,16901 Lakeside Hills Ct,68130,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Midwest Surgical Hospital Llc,NE,Omaha,7915 Farnam Drive,68114,Cochlear Implant Procedure | Implantation of Drug Infusion Device | Level 1 Nerve Procedures
"Bellevue Medical Center, Llc",NE,Bellevue,2500 Bellevue Medical Center Dr,68123,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
"Nebraska Spine Hospital, Llc",NE,Omaha,"6901 North 72nd St, Ste 20300",68122,Level 3 Excision/ Biopsy/ Incision and Drainage | Level 4 Musculoskeletal Procedures | Level 5 Musculoskeletal Procedures
Kearney Regional Medical Center,NE,Kearney,804 22nd Avenue,68845,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Heartland Surgery Center,NE,Kearney,3515 30th Avenue,68845,Abdominal/Peritoneal/Biliary and Related Procedures | Level 1 Breast/Lymphatic Surgery and Related Procedures | Level 1 Laparoscopy and Related Services
Grand Island Regional Medical Center,NE,Grand Island,3533 Prairieview Street,68803,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Advanced Medical Imaging Surgery Center,NE,Lincoln,7555 Pioneers Blvd,68506,Abdominal/Peritoneal/Biliary and Related Procedures | Implantation of Drug Infusion Device | Level 1 Breast/Lymphatic Surgery and Related Procedures
Boys Town National Research Hospital,NE,Boys Town,14000 Boys Town Hospital Road,68010,Cochlear Implant Procedure | Complex GI Procedures | Level 2 Musculoskeletal Procedures
Children's Nebraska,NE,Omaha,8200 Dodge St,68114,Level 3 Urology and Related Services
Renown Regional Medical Center,NV,Reno,1155 Mill Street,89502,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Sunrise Hospital And Medical Center,NV,Las Vegas,3186 S Maryland Pkwy,89109,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
North Vista Hospital,NV,North Las Vegas,1409 East Lake Mead Blvd,89030,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Laparoscopy and Related Services
University Medical Center,NV,Las Vegas,1800 W Charleston Blvd,89102,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Northeastern Nevada Regional Hospital,NV,Elko,2001 Errecart Blvd,89801,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Saint Mary's Regional Medical Center,NV,Reno,235 W 6th St,89503,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Saint Rose Dominican Hospitals - Rose De Lima,NV,Henderson,102 E Lake Mead Dr,89015,Comprehensive Observation Services | Level 2 Musculoskeletal Procedures
Carson Tahoe Regional Medical Center,NV,Carson City,1600 Medical Parkway,89703,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Valley Hospital Medical Center,NV,Las Vegas,620 Shadow Lane,89106,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Desert Springs Hospital,NV,Las Vegas,2075 East Flamingo Road,89119,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Endovascular Procedures
Northern Nevada Medical Center,NV,Sparks,2375 E Prater Way,89434,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Mountainview Hospital,NV,Las Vegas,3100 N Tenaya Way,89128,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Summerlin Hospital Medical Center,NV,Las Vegas,657 Town Center Drive,89144,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation Wireless PA Pressure Monitor
Saint Rose Dominican Hospitals - Siena Campus,NV,Henderson,3001 St Rose Parkway,89052,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Spring Valley Hospital Medical Center,NV,Las Vegas,5400 South Rainbow Blvd,89118,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Southern Hills Hospital And Medical Center,NV,Las Vegas,9300 West Sunset Rd,89148,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Renown South Meadows Medical Center,NV,Reno,10101 Double R Blvd,89521,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Saint Rose Dominican Hospitals - San Martin Campus,NV,Las Vegas,8280 W Warm Springs Road,89113,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Centennial Hills Hospital Medical Center,NV,Las Vegas,6900 N Durango Dr,89149,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Henderson Hospital,NV,Henderson,1050 West Galleria Drive,89011,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Dignity Health St Rose Dominican N L V  Campus,NV,North Las Vegas,1550 W Craig Ranch,89031,Comprehensive Observation Services | Level 2 Excision/ Biopsy/ Incision and Drainage
Valley View Surgery Center,NV,Las Vegas,1330 S Valley View Blvd,89102,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Level 1 Intraocular Procedures
Northern Nevada Sierra Medical Center,NV,Reno,625 Innovation Dr,89511,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Concord Hospital,NH,Concord,250 Pleasant St,03301,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Mary Hitchcock Memorial Hospital,NH,Lebanon,1 Medical Center Drive,03756,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Concord Hospital- Laconia,NH,Laconia,80 Highland St,03246,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
St Joseph Hospital,NH,Nashua,172 Kinsley St,03060,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Elliot Hospital,NH,Manchester,1 Elliot Way,03103,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Frisbie Memorial Hospital,NH,Rochester,11 Whitehall Road,03867,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Parkland Medical Center,NH,Derry,1 Parkland Drive,03038,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Wentworth-Douglass Hospital,NH,Dover,789 Central Ave,03820,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Cheshire Medical Center,NH,Keene,580 Court Street,03431,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Southern Nh Medical Center,NH,Nashua,8 Prospect Street,03060,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Exeter Hospital Inc,NH,Exeter,5 Alumni Drive,03833,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Comprehensive Observation Services
Portsmouth Regional Hospital,NH,Portsmouth,333 Borthwick Ave,03801,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Catholic Medical Center,NH,Manchester,100 Mcgregor Street,03102,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Northeast Rehabilitation Hospital,NH,Salem,70 Butler Street,03079,Level 1 Nerve Procedures | Level 2 Neurostimulator and Related Procedures | Level 5 Musculoskeletal Procedures
Hackensack University Medical Center,NJ,Hackensack,30 Prospect Ave,07601,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Newark Beth Israel Medical Center,NJ,Newark,201 Lyons Ave,07112,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Palisades Medical Center,NJ,North Bergen,7600 River Rd,07047,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Hunterdon Medical Center,NJ,Flemington,2100 Wescott Drive,08822,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Mary's General Hospital,NJ,Passaic,350 Boulevard,07055,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Holy Name Medical Center,NJ,Teaneck,718 Teaneck Rd,07666,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Clara Maass Medical Center,NJ,Belleville,One Clara Maass Drive,07109,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Penn Medicine Princeton Medical Center,NJ,Plainsboro,One-Five Plainsboro Road,08536,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
"Cape Regional Medical Center, Inc",NJ,Cape May Court House,Two Stone Harbor Blvd,08210,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Valley Hospital,NJ,Ridgewood,223 N Van Dien Avenue,07450,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Cooper University Hospital,NJ,Camden,1 Cooper Plaza,08103,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Morristown Medical Center,NJ,Morristown,100 Madison Ave,07960,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Carepoint Health-Christ Hospital,NJ,Jersey City,176 Palisade Ave,07306,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Chilton Medical Center,NJ,Pompton Plains,97 West Parkway,07444,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Joseph's University Medical Center Inc,NJ,Paterson,703 Main St,07503,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
West Jersey Hospital,NJ,Voorhees,100 Bowman Drive,08043,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Robert Wood Johnson University Hospital At Rahway,NJ,Rahway,865 Stone St,07065,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Carepoint Health - Bayonne Medical Center,NJ,Bayonne,29 East 29th St,07002,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Trinitas Regional Medical Center,NJ,Elizabeth,225 Williamson Street,07207,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Newton Medical Center,NJ,Newton,175 High St,07860,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Virtua Our Lady Of Lourdes Hospital,NJ,Camden,1600 Haddon Avenue,08103,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Deborah Heart And Lung Center,NJ,Browns Mills,200 Trenton Road,08015,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation Wireless PA Pressure Monitor
Inspira Medical Center Vineland,NJ,Vineland,1505 W Sherman Ave,08360,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Riverview Medical Center,NJ,Red Bank,One Riverview Plaza,07701,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Robert Wood Johnson University Hospital,NJ,New Brunswick,One Robert Wood Johnson Place,08901,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Raritan Bay Medical Center,NJ,Perth Amboy,530 New Brunswick Ave,08861,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Carepoint Health-Hoboken University Medical Center,NJ,Hoboken,308 Willow Ave,07030,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Endovascular Procedures
Community Medical Center,NJ,Toms River,99 Rt 37 West,08755,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Capital Health Medical Center - Hopewell,NJ,Pennington,One Capital Way,08534,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Englewood Hospital,NJ,Englewood,350 Engle St,07631,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Shore Medical Center,NJ,Somers Point,100 Medical Center Way,08244,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Robert Wood Johnson University Hospital Somerset,NJ,Somerville,110 Rehill Ave,08876,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Saint Clare's Hospital,NJ,Denville,25 Pocono Road,07834,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Overlook Medical Center,NJ,Summit,99 Beauvoir Avenue,07901,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Ocean University Medical Center,NJ,Brick,425 Jack Martin Blvd,08724,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
"Hackensack Meridian Health, Mountainside Medical",NJ,Montclair,1 Bay Avenue,07042,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Virtua Mount Holly Hospital,NJ,Mount Holly,175 Madison Ave,08060,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Bergen New Bridge Medical Center,NJ,Paramus,230 East Ridgewood Ave,07652,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
St Luke's Warren Hospital,NJ,Phillipsburg,185 Roseberry St,08865,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Virtua Willingboro Hospital,NJ,Willingboro,218a Sunset Road,08046,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Atlanticare Regional Medical Center - City Campus,NJ,Atlantic City,1925 Pacific Avenue,08401,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Inspira Medical Center Mullica Hill,NJ,Mullica Hill,700 Mullica Hill Rd,08062,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Saint Peter's University Hospital,NJ,New Brunswick,254 Easton Ave,08901,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Jersey Shore University Medical Center,NJ,Neptune,1945 State Route 33,07753,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Jersey City Medical Center,NJ,Jersey City,355 Grand Street,07302,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Monmouth Medical Center,NJ,Long Branch,300 Second Avenue,07740,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
