hospital_name,__key,detail_url,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings,State,County,ed_minutes_rating,detail_overall_patient_rating_points,mortality_overall_contribution,total_quality_points,adj_total_heartattack,adj_total_stroke,adj_total_heartfailure,adj_total_pneu
Minnesota Valley Health Center  Inc,minnesota valley health center inc,https://www.hospitalstats.org/hospital-ratings/minnesota-valley-health-center-inc-le-sueur-mn.htm,Minnesota Valley Health Center Inc Ratings,621 South Fourth Street,Le Sueur,MN,56058,(507) 665-3375,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,113.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,MN,Le Sueur,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Avera Tyler Hospital,avera tyler hospital,https://www.hospitalstats.org/hospital-ratings/avera-tyler-hospital-tyler-mn.htm,Avera Tyler Hospital Ratings,240 Willow Street,Tyler,MN,56178,(320) 828-0208,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,94.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,MN,Lincoln,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Hendricks Community Hospital,hendricks community hospital,https://www.hospitalstats.org/hospital-ratings/hendricks-community-hospital-hendricks-mn.htm,Hendricks Community Hospital Ratings,503 E Lincoln Street,Hendricks,MN,56136,(507) 275-3134,Critical Access Hospitals,YES,,,,,,,,,,110.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,MN,Lincoln,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Sanford Tracy Medical Center,sanford tracy medical center,https://www.hospitalstats.org/hospital-ratings/sanford-tracy-medical-center-tracy-mn.htm,Sanford Tracy Medical Center Ratings,251 Fifth Street East,Tracy,MN,56175,(507) 629-8400,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,110.0,POOR,Rooms and facilities are usually clean; Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,MN,Lyon,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Avera Marshall Regional Medical Ctr,avera marshall regional medical ctr,https://www.hospitalstats.org/hospital-ratings/avera-marshall-regional-medical-ctr-marshall-mn.htm,Avera Marshall Regional Medical Ctr Ratings,300 South Bruce Street,Marshall,MN,56258,(507) 532-9661,Critical Access Hospitals,YES,23% better,23.0,better,,,,14.8,1.0,0.0,124.0,AVERAGE,Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,MN,Lyon,wait time rating not available,7,23% better (±1),8,"no data for specific chief complaint, quality point remains at 8","no data for specific chief complaint, quality point remains at 8","no data for specific chief complaint, quality point remains at 8",6
North Valley Health Center,north valley health center,https://www.hospitalstats.org/hospital-ratings/north-valley-health-center-warren-mn.htm,North Valley Health Center Ratings,300 West Good Samaritan Drive,Warren,MN,56762,(218) 745-4211,Critical Access Hospitals,YES,,,,,,,,,,109.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,MN,Marshall,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Mayo Clinic Health System - Fairmont,mayo clinic health system - fairmont,https://www.hospitalstats.org/hospital-ratings/mayo-clinic-health-system--fairmont-fairmont-mn.htm,Mayo Clinic Health System - Fairmont Ratings,"800 Medical Center Drive, Po Box 800",Fairmont,MN,56031,(507) 238-5070,Acute Care Hospitals,YES,18% better,18.0,better,,,10.8,14.7,2.0,0.0,95.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,,MN,Martin,wait time rating not available,10,18% better (±1),11,"no data for specific chief complaint, quality point remains at 11","no data for specific chief complaint, quality point remains at 11",9,9
Mille Lacs Health System,mille lacs health system,https://www.hospitalstats.org/hospital-ratings/mille-lacs-health-system-onamia-mn.htm,Mille Lacs Health System Ratings,200 North Elm Street,Onamia,MN,56359,(320) 532-3154,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,104.0,POOR,Doctors usually communicate well with patients; Rooms were often quiet at night,,MN,Mille Lacs,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Fairview Northland Regional Hospital,fairview northland regional hospital,https://www.hospitalstats.org/hospital-ratings/fairview-northland-regional-hospital-princeton-mn.htm,Fairview Northland Regional Hospital Ratings,911 Northland Dr,Princeton,MN,55371,(952) 892-2101,Acute Care Hospitals,YES,6% worse,6.0,worse,,,12.5,,1.0,0.0,138.0,VERY GOOD,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean,,MN,Mille Lacs,wait time rating not available,10,6% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,"no data for specific chief complaint, quality point remains at 10"
St Gabriels Hospital,st gabriels hospital,https://www.hospitalstats.org/hospital-ratings/st-gabriels-hospital-little-falls-mn.htm,St Gabriels Hospital Ratings,815 Southeast Second Street,Little Falls,MN,56345,(320) 632-5441,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,116.0,AVERAGE,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,MN,Morrison,wait time rating not available,7,mortality not used,7,"no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7"
Murray County Memorial Hospital,murray county memorial hospital,https://www.hospitalstats.org/hospital-ratings/murray-county-memorial-hospital-slayton-mn.htm,Murray County Memorial Hospital Ratings,2042 Juniper Avenue,Slayton,MN,56172,(507) 836-6111,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,114.0,POOR,,,MN,Murray,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
River's Edge Hospital & Clinic,rivers edge hospital & clinic,https://www.hospitalstats.org/hospital-ratings/rivers-edge-hospital-clinic-st-peter-mn.htm,River's Edge Hospital & Clinic Ratings,1900 North Sunrise Drive,St Peter,MN,56082,(507) 934-8450,Critical Access Hospitals,YES,,,,,,,,,,133.0,VERY GOOD,,,MN,Nicollet,wait time rating not available,10,mortality not used,10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10"
Sanford Worthington Medical Center,sanford worthington medical center,https://www.hospitalstats.org/hospital-ratings/sanford-worthington-medical-center-worthington-mn.htm,Sanford Worthington Medical Center Ratings,1018 Sixth Avenue Po Box 997,Worthington,MN,56187,(507) 372-3110,Acute Care Hospitals,YES,4% worse,4.0,worse,,,11.4,20.0,0.0,0.0,132.0,AVERAGE,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean,,MN,Nobles,wait time rating not available,7,4% worse (±0),7,"no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7",5,4
Essentia Health Ada,essentia health ada,https://www.hospitalstats.org/hospital-ratings/essentia-health-ada-ada-mn.htm,Essentia Health Ada Ratings,201 9th Street West,Ada,MN,56510,(218) 784-5000,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,96.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,MN,Norman,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Olmsted Medical Center,olmsted medical center,https://www.hospitalstats.org/hospital-ratings/olmsted-medical-center-rochester-mn.htm,Olmsted Medical Center Ratings,1650 Fourth Street Southeast,Rochester,MN,55904,(507) 288-3443,Acute Care Hospitals,YES,9% better,9.0,better,,,11.6,15.8,2.0,0.0,135.0,VERY GOOD,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms were often quiet at night,,MN,Olmsted,wait time rating not available,10,9% better (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,7
Mayo Clinic Hospital Rochester,mayo clinic hospital rochester,https://www.hospitalstats.org/hospital-ratings/mayo-clinic-hospital-rochester-rochester-mn.htm,Mayo Clinic Hospital Rochester Ratings,1216 Second Street Southwest,Rochester,MN,55902,(507) 255-1991,Acute Care Hospitals,YES,42% better,42.0,better,8.9,10.2,8.4,12.2,182.0,14.0,231.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,MN,Olmsted,wait time rating not available,10,42% better (±2),12,11,10,11,10
Perham Health,perham health,https://www.hospitalstats.org/hospital-ratings/perham-health-perham-mn.htm,Perham Health Ratings,1000 Coney Street West,Perham,MN,56573,(218) 347-4500,Critical Access Hospitals,YES,5% worse,5.0,worse,,,13.6,18.0,1.0,,140.0,VERY GOOD,,,MN,Otter Tail,wait time rating not available,10,5% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,7
Lake Region Healthcare Corporation,lake region healthcare corporation,https://www.hospitalstats.org/hospital-ratings/lake-region-healthcare-corporation-fergus-falls-mn.htm,Lake Region Healthcare Corporation Ratings,712 South Cascade Street,Fergus Falls,MN,56537,(218) 736-8000,Acute Care Hospitals,YES,3% better,3.0,better,,13.2,11.6,17.9,4.0,0.0,156.0,VERY GOOD,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,,MN,Otter Tail,wait time rating not available,10,3% better (±0),10,"no data for specific chief complaint, quality point remains at 10",8,8,7
Sanford Thief River Falls Medical Center,sanford thief river falls medical center,https://www.hospitalstats.org/hospital-ratings/sanford-thief-river-falls-medical-center-thief-river-falls-mn.htm,Sanford Thief River Falls Medical Center Ratings,3001 Sanford Parkway,Thief River Falls,MN,56701,(218) 683-4400,Critical Access Hospitals,YES,5% better,5.0,better,,,,17.4,0.0,0.0,97.0,AVERAGE,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it,Facilities are sometimes dirty,MN,Pennington,wait time rating not available,7,5% better (±0),7,"no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7",4
Essentia Health Sandstone,essentia health sandstone,https://www.hospitalstats.org/hospital-ratings/essentia-health-sandstone-sandstone-mn.htm,Essentia Health Sandstone Ratings,705 Lundorff Drive South,Sandstone,MN,55072,(218) 786-1367,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,116.0,POOR,,Nurses often fail to communicate; Doctors often fail to communicate with patients,MN,Pine,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Pipestone County  Medical Center,pipestone county medical center,https://www.hospitalstats.org/hospital-ratings/pipestone-county-medical-center-pipestone-mn.htm,Pipestone County Medical Center Ratings,916 4th Avenue Southwest,Pipestone,MN,56164,(507) 825-5811,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,126.0,POOR,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it,,MN,Pipestone,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Essentia Health Fosston,essentia health fosston,https://www.hospitalstats.org/hospital-ratings/essentia-health-fosston-fosston-mn.htm,Essentia Health Fosston Ratings,900 Hilligoss Boulevard Se,Fosston,MN,56542,(218) 435-1133,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,80.0,POOR,Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,MN,Polk,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Riverview Hospital,riverview hospital,https://www.hospitalstats.org/hospital-ratings/riverview-hospital-crookston-mn.htm,Riverview Hospital Ratings,323 South Minnesota,Crookston,MN,56716,(218) 281-9200,Critical Access Hospitals,YES,7% worse,7.0,worse,,,,19.6,0.0,0.0,101.0,VERY GOOD,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,,MN,Polk,wait time rating not available,10,7% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",7
Glacial Ridge Hospital,glacial ridge hospital,https://www.hospitalstats.org/hospital-ratings/glacial-ridge-hospital-glenwood-mn.htm,Glacial Ridge Hospital Ratings,10 4th Avenue Southeast,Glenwood,MN,56334,(320) 634-4521,Critical Access Hospitals,YES,10% worse,10.0,worse,,,,20.3,1.0,0.0,162.0,VERY GOOD,,,MN,Pope,wait time rating not available,10,10% worse (±1),9,"no data for specific chief complaint, quality point remains at 9","no data for specific chief complaint, quality point remains at 9","no data for specific chief complaint, quality point remains at 9",5
M Health Fairview St John's Hospital,m health fairview st johns hospital,https://www.hospitalstats.org/hospital-ratings/m-health-fairview-st-johns-hospital-maplewood-mn.htm,M Health Fairview St John's Hospital Ratings,1575 Beam Avenue,Maplewood,MN,55109,(952) 892-2101,Acute Care Hospitals,YES,10% better,10.0,better,10.9,13.1,10.6,16.6,11.0,1.0,196.0,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,MN,Ramsey,wait time rating not available,7,10% better (±1),8,6,6,6,5
Allina United Hospital,allina united hospital,https://www.hospitalstats.org/hospital-ratings/allina-united-hospital-saint-paul-mn.htm,Allina United Hospital Ratings,333 North Smith Avenue,Saint Paul,MN,55102,(763) 236-8205,Acute Care Hospitals,YES,6% better,6.0,better,12.0,12.1,10.1,19.1,22.0,1.0,207.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,MN,Ramsey,wait time rating not available,7,6% better (±0),7,5,5,5,4
Regions Hospital,regions hospital,https://www.hospitalstats.org/hospital-ratings/regions-hospital-saint-paul-mn.htm,Regions Hospital Ratings,640 Jackson Street,Saint Paul,MN,55101,(651) 254-3456,Acute Care Hospitals,YES,5% better,5.0,better,12.5,13.0,12.1,16.4,33.0,5.0,225.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,MN,Ramsey,wait time rating not available,7,5% better (±0),7,5,5,5,4
Carris Health - Redwood,carris health - redwood,https://www.hospitalstats.org/hospital-ratings/carris-health--redwood-redwood-falls-mn.htm,Carris Health - Redwood Ratings,101 Caring Way,Redwood Falls,MN,56283,(507) 637-4500,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,145.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,,MN,Redwood,wait time rating not available,10,mortality not used,10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10"
Olivia Hospital & Clinic,olivia hospital & clinic,https://www.hospitalstats.org/hospital-ratings/olivia-hospital-clinic-olivia-mn.htm,Olivia Hospital & Clinic Ratings,100 Healthy Way,Olivia,MN,56277,(320) 523-1261,Critical Access Hospitals,YES,,,,,,,,2.0,1.0,132.0,POOR,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,,MN,Renville,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Northfield Hospital,northfield hospital,https://www.hospitalstats.org/hospital-ratings/northfield-hospital-northfield-mn.htm,Northfield Hospital Ratings,2000 North Avenue,Northfield,MN,55057,(507) 646-1004,Acute Care Hospitals,YES,12% worse,12.0,worse,,,13.4,,3.0,0.0,139.0,VERY GOOD,Nurses usually take time to communicate well; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,MN,Rice,wait time rating not available,10,12% worse (±1),9,"no data for specific chief complaint, quality point remains at 9","no data for specific chief complaint, quality point remains at 9",7,"no data for specific chief complaint, quality point remains at 9"
Allina Health Faribault Medical Center,allina health faribault medical center,https://www.hospitalstats.org/hospital-ratings/allina-health-faribault-medical-center-faribault-mn.htm,Allina Health Faribault Medical Center Ratings,200 State Avenue,Faribault,MN,55021,(507) 497-3733,Acute Care Hospitals,YES,0%,0.0,,,,11.8,,2.0,0.0,153.0,AVERAGE,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean,,MN,Rice,wait time rating not available,7,mortality not used,7,"no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7",5,"no data for specific chief complaint, quality point remains at 7"
Sanford Luverne Medical Center,sanford luverne medical center,https://www.hospitalstats.org/hospital-ratings/sanford-luverne-medical-center-luverne-mn.htm,Sanford Luverne Medical Center Ratings,1600 N Kniss Avenue,Luverne,MN,56156,(507) 283-2321,Critical Access Hospitals,YES,8% worse,8.0,worse,,,,19.7,0.0,0.0,116.0,POOR,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it; Rooms and facilities are usually clean,,MN,Rock,wait time rating not available,5,8% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Lifecare Medical Center,lifecare medical center,https://www.hospitalstats.org/hospital-ratings/lifecare-medical-center-roseau-mn.htm,Lifecare Medical Center Ratings,715 Delmore Drive,Roseau,MN,56751,(218) 463-2500,Critical Access Hospitals,YES,0%,0.0,,,,,18.2,2.0,0.0,120.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,MN,Roseau,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Mayo Clinic Health System-New Prague,mayo clinic health system-new prague,https://www.hospitalstats.org/hospital-ratings/mayo-clinic-health-system-new-prague-new-prague-mn.htm,Mayo Clinic Health System-New Prague Ratings,301 2nd Street Northeast,New Prague,MN,56071,(952) 758-4431,Critical Access Hospitals,YES,6% better,6.0,better,,,,17.2,3.0,0.0,137.0,VERY GOOD,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it; Rooms were often quiet at night,,MN,Scott,wait time rating not available,10,6% better (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",7
St Francis Regional Medical Center,st francis regional medical center,https://www.hospitalstats.org/hospital-ratings/st-francis-regional-medical-center-shakopee-mn.htm,St Francis Regional Medical Center Ratings,1455 St Francis Avenue,Shakopee,MN,55379,(952) 428-3000,Acute Care Hospitals,YES,4% better,4.0,better,,13.1,11.5,17.6,4.0,1.0,184.0,AVERAGE,Nurses usually take time to communicate well,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,MN,Scott,wait time rating not available,7,4% better (±0),7,"no data for specific chief complaint, quality point remains at 7",5,5,4
Ridgeview Sibley Medical Center,ridgeview sibley medical center,https://www.hospitalstats.org/hospital-ratings/ridgeview-sibley-medical-center-arlington-mn.htm,Ridgeview Sibley Medical Center Ratings,601 West Chandler,Arlington,MN,55307,(507) 964-8415,Critical Access Hospitals,YES,,,,,,,,1.0,0.0,126.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,MN,Sibley,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Centracare Health System - Sauk Centre,centracare health system - sauk centre,https://www.hospitalstats.org/hospital-ratings/centracare-health-system--sauk-centre-sauk-centre-mn.htm,Centracare Health System - Sauk Centre Ratings,425 North Elm Street,Sauk Centre,MN,56378,(320) 352-2221,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,122.0,POOR,Nurses usually take time to communicate well; Rooms and facilities are usually clean; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,MN,Stearns,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Centracare Health Paynesville Hospital,centracare health paynesville hospital,https://www.hospitalstats.org/hospital-ratings/centracare-health-paynesville-hospital-paynesville-mn.htm,Centracare Health Paynesville Hospital Ratings,200 1st Street West,Paynesville,MN,56362,(320) 243-3767,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,132.0,POOR,Nurses usually take time to communicate well; Rooms were often quiet at night,,MN,Stearns,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Centracare Health System - Melrose Hospital,centracare health system - melrose hospital,https://www.hospitalstats.org/hospital-ratings/centracare-health-system--melrose-hospital-melrose-mn.htm,Centracare Health System - Melrose Hospital Ratings,525 West Main Street,Melrose,MN,56352,(320) 256-1805,Critical Access Hospitals,YES,15% better,15.0,better,,,,15.8,0.0,0.0,132.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,,MN,Stearns,wait time rating not available,5,15% better (±1),6,"no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6",3
St Cloud Hospital,st cloud hospital,https://www.hospitalstats.org/hospital-ratings/st-cloud-hospital-saint-cloud-mn.htm,St Cloud Hospital Ratings,1406 6th Ave North,Saint Cloud,MN,56303,(320) 255-5661,Acute Care Hospitals,YES,16% better,16.0,better,12.9,11.2,9.0,15.7,69.0,3.0,232.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,MN,Stearns,wait time rating not available,7,16% better (±1),8,6,6,7,5
Owatonna Hospital,owatonna hospital,https://www.hospitalstats.org/hospital-ratings/owatonna-hospital-owatonna-mn.htm,Owatonna Hospital Ratings,2250 26th Street Northwest,Owatonna,MN,55060,(507) 977-2323,Acute Care Hospitals,YES,0% worse,0.0,worse,,15.1,13.5,15.4,0.0,0.0,136.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,,MN,Steele,wait time rating not available,10,0% worse (±0),10,"no data for specific chief complaint, quality point remains at 10",7,8,7
Stevens Community Medical Center,stevens community medical center,https://www.hospitalstats.org/hospital-ratings/stevens-community-medical-center-morris-mn.htm,Stevens Community Medical Center Ratings,400 East First Street,Morris,MN,56267,(320) 589-1313,Critical Access Hospitals,YES,11% worse,11.0,worse,,,,20.5,,,188.0,AVERAGE,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,,MN,Stevens,wait time rating not available,7,11% worse (±1),6,"no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6",2
Centracare - Benson,centracare - benson,https://www.hospitalstats.org/hospital-ratings/centracare--benson-benson-mn.htm,Centracare - Benson Ratings,1815 Wisconsin Avenue,Benson,MN,56215,(320) 843-4232,Critical Access Hospitals,YES,,,,,,,,,,112.0,POOR,,Nurses often fail to communicate; Doctors often fail to communicate with patients,MN,Swift,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Appleton Area Health,appleton area health,https://www.hospitalstats.org/hospital-ratings/appleton-area-health-appleton-mn.htm,Appleton Area Health Ratings,30 S Behl St,Appleton,MN,56208,(320) 289-8508,Critical Access Hospitals,YES,,,,,,,,,,116.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,MN,Swift,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Lakewood Health System,lakewood health system,https://www.hospitalstats.org/hospital-ratings/lakewood-health-system-staples-mn.htm,Lakewood Health System Ratings,49725 County Road 83,Staples,MN,56479,(218) 894-1515,Critical Access Hospitals,YES,16% worse,16.0,worse,,,,21.7,0.0,0.0,105.0,VERY GOOD,Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,MN,Todd,wait time rating not available,10,16% worse (±1),9,"no data for specific chief complaint, quality point remains at 9","no data for specific chief complaint, quality point remains at 9","no data for specific chief complaint, quality point remains at 9",5
